location,floor,floor_count,rooms_count,square_meter_price,price,year_of_construction,ipoteka_rate,area,discount,distance,monthly_payment
"Россия, Московская область, Реутов, 5-й м-н, улица Ленина, 16",5,12,2,207500,8300000,none,24.9,40.0,0.3,1.08,138334
"Россия, Московская область, Мытищи городской округ, д. Пирогово, улица Ильинского, 5",5,6,3,141445,12673517,none,24.9,89.6,none,none,211226
"Россия, Московская область, Балашиха, Павлино м-н, ст46",10,15,0,186562,5970000,none,24.9,32.0,0.3,3.49,99500
"Россия, Московская область, Пушкино, Кудринка м-н, проезд Чапаева, 9/11 / Центральная улица, 11",5,5,3,125996,7900000,none,24.9,62.7,0.3,none,131667
"Россия, Московская область, Ивантеевка, Хлебозаводская улица, 28 к2",12,17,2,165505,9500000,none,24.9,57.4,0.3,none,158334
"Россия, Московская область, Королёв, Завокзальный м-н, Садовая улица, 10а",1,5,3,119005,6700000,none,24.9,56.3,0.3,13.44,111667
"Россия, Московская область, Пушкино, улица Первомайская, 11",2,5,3,129518,6450000,none,24.9,49.8,0.3,none,107500
"Россия, Московская область, Пушкино, Дзержинец м-н, 13",4,9,3,125217,7200000,none,24.9,57.5,0.3,none,120000
"Россия, Московская область, Пушкино, улица Озёрная, 11 к1",9,17,3,157527,15800000,none,24.9,100.3,0.6,none,263335
"Россия, Московская область, Мытищи, 6-й м-н, улица Юбилейная, 33",4,9,2,157151,7999000,none,24.9,50.9,0.3,4.38,133317
"Россия, Московская область, Пушкино, Московский проспект, 57 к3",10,19,2,176791,11350000,none,24.9,64.2,none,none,191334
"Россия, Московская область, Красногорск, Южный м-н, Заводская улица, 18 к3",22,25,1,276967,9500000,none,24.9,34.3,0.3,1.83,158334
"Россия, Московская область, Щёлково городской округ, д. Большие Жеребцы, Восточный микрорайон, 1 к9",5,5,3,82926,6800000,none,24.9,82.0,0.3,15.74,113334
"Россия, Московская область, Щёлково, Соболевка м-н, 25",7,8,1,161842,6150000,2021,24.9,38.0,0.3,none,102500
"Россия, Московская область, Щёлково, 1-й Советский переулок, 4",4,5,1,130281,3700000,none,24.9,28.4,0.3,none,61667
"Россия, Московская область, Щёлково, Потаповский м-н, 1",6,17,2,155425,10600000,none,24.9,68.2,0.3,none,176667
"Россия, Московская область, Королёв, улица Орджоникидзе, 2г",2,19,2,149310,12990000,none,24.9,87.0,0.6,13.93,216501
"Россия, Московская область, Мытищи городской округ, д. Бородино, Малая Бородинская улица, 1 к1",6,16,1,209638,8700000,2019,24.9,41.5,0.3,none,145001
"Россия, Московская область, Люберцы, Зенино ЖК Самолёт м-н, Озёрная улица, 2",17,17,2,211513,6493452,none,24.9,30.7,none,3.33,none
"Россия, Московская область, Королёв, Первомайский м-н, Солнечная улица, 2",3,4,2,209000,13104300,none,24.9,62.7,0.6,17.72,218406
"Россия, Московская область, Лосино-Петровский городской округ, рп. Свердловский, Лукино-Варино, Берёзовая улица, 2",10,16,2,106007,6000000,2020,24.9,56.6,0.3,none,100000
"Россия, Московская область, Павловский Посад, улица Герцена, 18/а к2",9,10,3,100583,9998000,none,24.9,99.4,0.3,none,none
"Россия, Московская область, Павлово-Посадский городской округ, деревня Ново-Загарье, 2А",1,1,2,42408,3698000,none,24.9,87.2,0.3,none,61633
"Россия, Московская область, Павловский Посад городской округ, д. Ново-Загарье, 1а",1,2,2,45101,1998000,none,24.9,44.3,0.3,none,33300
"Россия, Московская область, Орехово-Зуевский городской округ, пос. Авсюнино, улица Ленина, 6",4,4,2,73033,3250000,none,24.9,44.5,0.3,none,54167
"Россия, Московская область, Орехово-Зуевский городской округ, пос. Авсюнино, улица Ленина, 14",2,5,1,81666,2450000,none,24.9,30.0,0.3,none,40833
"Россия, Московская область, Люберцы городской округ, дп. Красково, Егорьевское шоссе, 1 к2",6,12,0,223106,5890000,2020,24.9,26.4,0.3,2.36,98167
"Россия, Московская область, Орехово-Зуевский городской округ, Куровское, Заречный м-н, улица Коммунистическая, 8",2,4,1,91803,2800000,none,24.9,30.5,0.3,none,46667
"Россия, Московская область, Люберцы, Зенино ЖК Самолёт м-н, Озёрная улица, 2",12,17,0,229934,5403453,none,24.9,23.5,none,3.33,none
"Россия, Московская область, Солнечногорск городской округ, рп. Андреевка, Староандреевская улица, 43 к1",13,17,2,181159,12500000,none,24.9,69.0,none,3.27,208334
"Россия, Московская область, Реутов, 5-й м-н, улица Ленина, 16",5,12,2,207500,8300000,none,24.9,40.0,0.3,1.08,138334
"Россия, Московская область, Мытищи городской округ, д. Пирогово, улица Ильинского, 5",5,6,3,141445,12673517,none,24.9,89.6,none,none,211226
"Россия, Московская область, Балашиха, Павлино м-н, ст46",10,15,0,186562,5970000,none,24.9,32.0,0.3,3.49,99500
"Россия, Московская область, Пушкино, Кудринка м-н, проезд Чапаева, 9/11 / Центральная улица, 11",5,5,3,125996,7900000,none,24.9,62.7,0.3,none,131667
"Россия, Московская область, Ивантеевка, Хлебозаводская улица, 28 к2",12,17,2,165505,9500000,none,24.9,57.4,0.3,none,158334
"Россия, Московская область, Королёв, Завокзальный м-н, Садовая улица, 10а",1,5,3,119005,6700000,none,24.9,56.3,0.3,13.44,111667
"Россия, Московская область, Пушкино, улица Первомайская, 11",2,5,3,129518,6450000,none,24.9,49.8,0.3,none,107500
"Россия, Московская область, Пушкино, Дзержинец м-н, 13",4,9,3,125217,7200000,none,24.9,57.5,0.3,none,120000
"Россия, Московская область, Пушкино, улица Озёрная, 11 к1",9,17,3,157527,15800000,none,24.9,100.3,0.6,none,263335
"Россия, Московская область, Мытищи, 6-й м-н, улица Юбилейная, 33",4,9,2,157151,7999000,none,24.9,50.9,0.3,4.38,133317
"Россия, Московская область, Пушкино, Московский проспект, 57 к3",10,19,2,176791,11350000,none,24.9,64.2,none,none,191334
